Glon_1,Glat_1,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance,overdensity,comments,Separation
332.194757,0.1315415,12.958,0.115642857,11.89935714,0.120714286,0.012835092,14,split_295.0_335.0/37_3.csv,0.6-4.0,584,224142,1.299847775,1.9,,0.215121173
332.232797,0.7235585,13.3417,0.0979,12.51415,0.129,0.038591798,20,split_295.0_335.0/37_3.csv,0.6-4.0,252,224142,0.617587401,6.04,,0.149683295
332.1974665,0.602124,13.5441875,0.108729167,12.7319375,0.127291667,0.031024627,48,split_295.0_335.0/37_3.csv,0.6-4.0,335,224142,1.843733334,9.94,,0.148319184
306.121945,-0.745053,13.43426667,0.092533333,12.50606667,0.143333333,0.051785774,15,split_295.0_335.0/11_2.csv,0.6-4.0,75,191152,0.373780319,2.98,,0.234295183
306.284598,-0.1821545,13.46041667,0.104875,12.38829167,0.1295,0.070761261,24,split_295.0_335.0/11_2.csv,0.6-4.0,132,191152,0.437674574,1.12,,0.163957049
306.7313465,-0.3451195,14.18544444,0.113722222,13.27033333,0.146388889,0.055867864,18,split_295.0_335.0/11_2.csv,0.6-4.0,114,191152,0.415763228,2.67,,0.181540807
313.909626,-0.075106,12.79857895,0.114631579,11.91426316,0.119263158,0.033532806,19,split_295.0_335.0/19_3.csv,0.6-4.0,146,172255,0.770234289,5.94,,0.096062152
314.205451,0.203614,13.54412766,0.110978723,12.46461702,0.124404255,0.034558852,47,split_295.0_335.0/19_3.csv,0.6-4.0,431,172255,1.848747923,11.3,G3CC_17,0.183453431
314.330293,0.435232,13.64035714,0.111714286,12.6845,0.126142857,0.022066377,14,split_295.0_335.0/19_3.csv,0.6-4.0,294,172255,0.862454407,6.94,,0.117903597
314.267393,0.0894305,13.46629167,0.108895833,12.28991667,0.124583333,0.027376684,48,split_295.0_335.0/19_3.csv,0.6-4.0,416,172255,2.383414296,8.73,G3CC_18,0.112651633
314.322933,0.1236,13.73442857,0.106,12.746,0.134952381,0.02002919,21,split_295.0_335.0/19_3.csv,0.6-4.0,452,172255,1.425263167,3.49,,0.118799724
325.951314,-0.178925,13.94507692,0.132205128,13.04723077,0.155358974,0.093882729,39,split_295.0_335.0/31_2.csv,0.6-4.0,98,195624,0.529898754,1.07,offic,0.103140248
301.59462,-0.283397,13.39135294,0.107235294,12.49288235,0.124705882,0.035414373,17,split_295.0_335.0/6_2.csv,0.6-4.0,155,138097,0.728789835,3.88,,0.072804165
301.647602,-0.245617,13.317,0.096962963,12.22214815,0.106333333,0.040827476,27,split_295.0_335.0/6_2.csv,0.6-4.0,116,138097,1.004024184,3.59,G3CC_6,0.061621981
301.139516,-0.219725,13.57734884,0.108372093,12.73213953,0.129674419,0.098072541,43,split_295.0_335.0/6_2.csv,0.6-4.0,101,138097,0.665662312,3.07,VVV_CL017,0.106872704
303.9348875,-0.6876945,13.38942857,0.135714286,12.11357143,0.114714286,0.024785548,14,split_295.0_335.0/9_2.csv,0.6-4.0,104,167632,0.778352107,4.95,G3CC_8,0.049122208
303.9816045,-0.5326625,13.68365,0.09335,12.71235,0.12235,0.054431694,20,split_295.0_335.0/9_2.csv,0.6-4.0,131,167632,0.506319605,4.04,,0.135976283
304.261206,-0.3962725,13.71130769,0.100423077,12.79157692,0.101769231,0.043051643,26,split_295.0_335.0/9_2.csv,0.6-4.0,162,167632,0.832204804,4.05,,0.101286763
299.051478,0.1808165,13.4866,0.1027,12.51615,0.1136,0.047637844,20,split_295.0_335.0/4_3.csv,0.6-4.0,90,120310,0.682892121,3.49,,0.098987172
298.897458,0.359772,12.66233333,0.100857143,11.55333333,0.12152381,0.049772202,21,split_295.0_335.0/4_3.csv,0.6-4.0,68,120310,0.68628837,6.2,[BRN2015]_La_Serena_28,0.181739112
299.604687,0.170367,13.98014286,0.130952381,12.90385714,0.132714286,0.043860978,21,split_295.0_335.0/4_3.csv,0.6-4.0,97,120310,0.778780712,3.13,,0.127664547
318.7218815,-0.7503835,13.3131875,0.1081875,12.1973125,0.1200625,0.02523831,16,split_295.0_335.0/23_2.csv,0.6-4.0,154,174357,0.8565744,1.12,,0.089252763
